"ing","ingName","prodCode","prodDesc","prodTTY"
"704","Amitriptyline","856851","Amitriptyline Hydrochloride 50 MG Oral Tablet [Vanatrip]","SBD"
"704","Amitriptyline","856853","Amitriptyline Hydrochloride 75 MG Oral Tablet","SCD"
"704","Amitriptyline","856855","Amitriptyline Hydrochloride 75 MG Oral Tablet [Elavil]","SBD"
"704","Amitriptyline","856857","Amitriptyline Hydrochloride 75 MG Oral Tablet [Endep]","SBD"
"704","Amitriptyline","856838","Amitriptyline Hydrochloride 25 MG Oral Tablet [Endep]","SBD"
"704","Amitriptyline","856762","Amitriptyline Hydrochloride 100 MG Oral Tablet","SCD"
"704","Amitriptyline","856708","Amitriptyline Hydrochloride 10 MG / Perphenazine 2 MG Oral Tablet [Duo-Vil]","SBD"
"704","Amitriptyline","856710","Amitriptyline Hydrochloride 10 MG / Perphenazine 2 MG Oral Tablet [Etrafon]","SBD"
"704","Amitriptyline","856717","Amitriptyline Hydrochloride 10 MG / Perphenazine 2 MG Oral Tablet [Triavil]","SBD"
"704","Amitriptyline","856720","Amitriptyline Hydrochloride 10 MG / Perphenazine 4 MG Oral Tablet","SCD"
"704","Amitriptyline","856722","Amitriptyline Hydrochloride 10 MG / Perphenazine 4 MG Oral Tablet [Duo-Vil]","SBD"
"704","Amitriptyline","856755","Amitriptyline Hydrochloride 10 MG / Perphenazine 4 MG Oral Tablet [Etrafon]","SBD"
"704","Amitriptyline","856760","Amitriptyline Hydrochloride 10 MG / Perphenazine 4 MG Oral Tablet [Triavil]","SBD"
"704","Amitriptyline","856783","Amitriptyline Hydrochloride 10 MG Oral Tablet","SCD"
"704","Amitriptyline","856812","Amitriptyline Hydrochloride 10 MG Oral Tablet [Elavil]","SBD"
"704","Amitriptyline","856859","Amitriptyline Hydrochloride 10 MG/ML Injectable Solution","SCD"
"704","Amitriptyline","856806","Amitriptyline Hydrochloride 25 MG / Perphenazine 2 MG Oral Tablet [Etrafon]","SBD"
"704","Amitriptyline","856862","Amitriptyline Hydrochloride 10 MG/ML Oral Solution","SCD"
"704","Amitriptyline","856706","Amitriptyline Hydrochloride 10 MG / Perphenazine 2 MG Oral Tablet","SCD"
"704","Amitriptyline","856764","Amitriptyline Hydrochloride 100 MG Oral Tablet [Elavil]","SBD"
"704","Amitriptyline","856766","Amitriptyline Hydrochloride 100 MG Oral Tablet [Endep]","SBD"
"704","Amitriptyline","856863","Amitriptyline Hydrochloride 12.5 MG / Chlordiazepoxide 10 MG Oral Tablet","SCD"
"704","Amitriptyline","856864","Amitriptyline Hydrochloride 12.5 MG / Chlordiazepoxide 5 MG Oral Capsule","SCD"
"704","Amitriptyline","856769","Amitriptyline Hydrochloride 12.5 MG / Chlordiazepoxide 5 MG Oral Tablet","SCD"
"704","Amitriptyline","856781","Amitriptyline Hydrochloride 12.5 MG / Chlordiazepoxide 5 MG Oral Tablet [Limbitrol]","SBD"
"704","Amitriptyline","856773","Amitriptyline Hydrochloride 150 MG Oral Tablet","SCD"
"704","Amitriptyline","856775","Amitriptyline Hydrochloride 150 MG Oral Tablet [Elavil]","SBD"
"704","Amitriptyline","856777","Amitriptyline Hydrochloride 150 MG Oral Tablet [Endep]","SBD"
"704","Amitriptyline","856792","Amitriptyline Hydrochloride 25 MG / Chlordiazepoxide 10 MG Oral Tablet","SCD"
"704","Amitriptyline","856796","Amitriptyline Hydrochloride 25 MG / Chlordiazepoxide 10 MG Oral Tablet [Limbitrol]","SBD"
"704","Amitriptyline","856861","Amitriptyline Hydrochloride 10 MG/ML Injectable Solution [Elavil]","SBD"
"343047","Atazanavir","402246","Atazanavir 150 MG Oral Capsule","SCD"
"343047","Atazanavir","1598989","Atazanavir 50 MG Oral Powder [Reyataz]","SBD"
"343047","Atazanavir","1598985","Atazanavir 50 MG Oral Powder","SCD"
"343047","Atazanavir","664743","Atazanavir 300 MG Oral Capsule [Reyataz]","SBD"
"343047","Atazanavir","664741","Atazanavir 300 MG Oral Capsule","SCD"
"343047","Atazanavir","1601660","Atazanavir 300 MG / cobicistat 150 MG Oral Tablet [Evotaz]","SBD"
"343047","Atazanavir","1601654","Atazanavir 300 MG / cobicistat 150 MG Oral Tablet","SCD"
"343047","Atazanavir","402093","Atazanavir 200 MG Oral Capsule [Reyataz]","SBD"
"343047","Atazanavir","402094","Atazanavir 150 MG Oral Capsule [Reyataz]","SBD"
"343047","Atazanavir","402095","Atazanavir 100 MG Oral Capsule [Reyataz]","SBD"
"343047","Atazanavir","402245","Atazanavir 100 MG Oral Capsule","SCD"
"343047","Atazanavir","402247","Atazanavir 200 MG Oral Capsule","SCD"
"38400","atomoxetine","349591","atomoxetine 10 MG Oral Capsule","SCD"
"38400","atomoxetine","352318","atomoxetine 18 MG Oral Capsule [Strattera]","SBD"
"38400","atomoxetine","608143","atomoxetine 80 MG Oral Capsule","SCD"
"38400","atomoxetine","352319","atomoxetine 25 MG Oral Capsule [Strattera]","SBD"
"38400","atomoxetine","349594","atomoxetine 40 MG Oral Capsule","SCD"
"38400","atomoxetine","352320","atomoxetine 40 MG Oral Capsule [Strattera]","SBD"
"38400","atomoxetine","349595","atomoxetine 60 MG Oral Capsule","SCD"
"38400","atomoxetine","352321","atomoxetine 60 MG Oral Capsule [Strattera]","SBD"
"38400","atomoxetine","352317","atomoxetine 10 MG Oral Capsule [Strattera]","SBD"
"38400","atomoxetine","608139","atomoxetine 100 MG Oral Capsule","SCD"
"38400","atomoxetine","617945","atomoxetine 100 MG Oral Capsule [Strattera]","SBD"
"38400","atomoxetine","349592","atomoxetine 18 MG Oral Capsule","SCD"
"38400","atomoxetine","410062","atomoxetine 5 MG Oral Capsule","SCD"
"38400","atomoxetine","617947","atomoxetine 80 MG Oral Capsule [Strattera]","SBD"
"38400","atomoxetine","349593","atomoxetine 25 MG Oral Capsule","SCD"
"1256","Azathioprine","359228","Azathioprine 100 MG Oral Tablet","SCD"
"1256","Azathioprine","105611","Azathioprine 50 MG Oral Tablet [Imuran]","SBD"
"1256","Azathioprine","108922","Azathioprine 50 MG Oral Tablet [Oprisine]","SBD"
"1256","Azathioprine","105612","Azathioprine 50 MG Oral Tablet [Immunoprin]","SBD"
"1256","Azathioprine","359229","Azathioprine 75 MG Oral Tablet","SCD"
"1256","Azathioprine","404475","Azathioprine 75 MG Oral Tablet [Azasan]","SBD"
"1256","Azathioprine","153129","Azathioprine 10 MG Oral Tablet","SCD"
"1256","Azathioprine","239983","Azathioprine 100 MG Injection","SCD"
"1256","Azathioprine","404476","Azathioprine 100 MG Oral Tablet [Azasan]","SBD"
"1256","Azathioprine","701338","Azathioprine 25 MG Oral Tablet [Azasan]","SBD"
"1256","Azathioprine","105610","Azathioprine 25 MG Oral Tablet [Imuran]","SBD"
"1256","Azathioprine","410148","Azathioprine 250 MG Oral Capsule","SCD"
"1256","Azathioprine","197388","Azathioprine 50 MG Oral Tablet","SCD"
"1256","Azathioprine","105609","Azathioprine 50 MG Oral Tablet [Azamune]","SBD"
"1256","Azathioprine","404351","Azathioprine 50 MG Oral Tablet [Azasan]","SBD"
"1256","Azathioprine","105613","Azathioprine 50 MG Oral Tablet [Berkaprine]","SBD"
"1256","Azathioprine","199310","Azathioprine 25 MG Oral Tablet","SCD"
"1256","Azathioprine","153130","Azathioprine 10 MG Oral Tablet [Imuran]","SBD"
"2556","Citalopram","631740","Citalopram 3 MG/ML Oral Solution","SCD"
"2556","Citalopram","389202","Citalopram 40 MG/ML Oral Solution","SCD"
"2556","Citalopram","226376","Citalopram 40 MG Oral Tablet [Cipramil]","SBD"
"2556","Citalopram","213345","Citalopram 40 MG Oral Tablet [Celexa]","SBD"
"2556","Citalopram","309314","Citalopram 40 MG Oral Tablet","SCD"
"2556","Citalopram","645291","Citalopram 40 MG Disintegrating Oral Tablet","SCD"
"2556","Citalopram","540848","Citalopram 20 MG Oral Tablet [Citalopraam]","SBD"
"2556","Citalopram","108886","Citalopram 20 MG Oral Tablet [Cipramil]","SBD"
"2556","Citalopram","213344","Citalopram 20 MG Oral Tablet [Celexa]","SBD"
"2556","Citalopram","200371","Citalopram 20 MG Oral Tablet","SCD"
"2556","Citalopram","730441","Citalopram 20 MG Oral Capsule","SCD"
"2556","Citalopram","730440","Citalopram 10 MG Oral Capsule","SCD"
"2556","Citalopram","730442","Citalopram 40 MG Oral Capsule","SCD"
"2556","Citalopram","645290","Citalopram 20 MG Disintegrating Oral Tablet","SCD"
"2556","Citalopram","645289","Citalopram 10 MG Disintegrating Oral Tablet","SCD"
"2556","Citalopram","283672","Citalopram 10 MG Oral Tablet","SCD"
"2556","Citalopram","284591","Citalopram 10 MG Oral Tablet [Celexa]","SBD"
"2556","Citalopram","153503","Citalopram 10 MG Oral Tablet [Cipramil]","SBD"
"2556","Citalopram","309313","Citalopram 2 MG/ML Oral Solution","SCD"
"2556","Citalopram","261342","Citalopram 2 MG/ML Oral Solution [Celexa]","SBD"
"32968","clopidogrel","309362","clopidogrel 75 MG Oral Tablet","SCD"
"32968","clopidogrel","213169","clopidogrel 75 MG Oral Tablet [Plavix]","SBD"
"32968","clopidogrel","749198","clopidogrel 300 MG Oral Tablet [Plavix]","SBD"
"32968","clopidogrel","749196","clopidogrel 300 MG Oral Tablet","SCD"
"2670","Codeine","1115764","Codeine Phosphate 1.8 MG/ML / Guaifenesin 40 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Z-Tuss E]","SBD"
"2670","Codeine","996253","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Nucofed Expectorant]","SBD"
"2670","Codeine","996257","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Nucotuss]","SBD"
"2670","Codeine","996261","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Phenhist]","SBD"
"2670","Codeine","996263","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Phenylhistine Expectorant]","SBD"
"2670","Codeine","996267","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Robitussin DAC]","SBD"
"2670","Codeine","996271","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Ryna CX]","SBD"
"2670","Codeine","546142","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Sudatuss 2 DF]","SBD"
"2670","Codeine","996273","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Sudatuss SF]","SBD"
"2670","Codeine","996277","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Suttar]","SBD"
"2670","Codeine","995450","Codeine Phosphate 10 MG / Guaifenesin 300 MG Oral Tablet","SCD"
"2670","Codeine","1086926","Codeine Phosphate 1.26 MG/ML / Guaifenesin 20 MG/ML Oral Solution [Relcof C]","SBD"
"2670","Codeine","997160","Codeine Phosphate 1.8 MG/ML / Phenylephrine Hydrochloride 1 MG/ML / Pyrilamine Maleate 1.67 MG/ML Oral Solution","SCD"
"2670","Codeine","996245","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Novahistine Expectorant]","SBD"
"2670","Codeine","1115760","Codeine Phosphate 1.8 MG/ML / Guaifenesin 40 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution","SCD"
"2670","Codeine","1292000","Codeine Phosphate 1.8 MG/ML / Diphenhydramine Hydrochloride 2 MG/ML Oral Solution","SCD"
"2670","Codeine","1440003","Codeine Phosphate 1.8 MG/ML / Dexchlorpheniramine maleate 0.2 MG/ML / Phenylephrine Hydrochloride 1 MG/ML Oral Solution","SCD"
"2670","Codeine","1145972","Codeine Phosphate 1.6 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Codar D]","SBD"
"2670","Codeine","1114878","Codeine Phosphate 1.6 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution","SCD"
"2670","Codeine","1595214","Codeine Phosphate 1.6 MG/ML / Guaifenesin 40 MG/ML Oral Solution [Ninjacof XG]","SBD"
"2670","Codeine","1114030","Codeine Phosphate 1.6 MG/ML / Guaifenesin 40 MG/ML Oral Solution [Codar GF]","SBD"
"2670","Codeine","1190587","Codeine Phosphate 1.2 MG/ML / Dexbrompheniramine maleate 0.133 MG/ML / Pseudoephedrine Hydrochloride 4 MG/ML Oral Solution [M-End Max D]","SBD"
"2670","Codeine","995438","Codeine Phosphate 1.26 MG/ML / Guaifenesin 20 MG/ML Oral Solution","SCD"
"2670","Codeine","755846","Codeine 2 MG/ML / potassium citrate 43.2 MG/ML Oral Solution","SCD"
"2670","Codeine","995447","Codeine Phosphate 1.8 MG/ML / Pyrilamine Maleate 1.67 MG/ML Oral Solution","SCD"
"2670","Codeine","421815","Codeine 12.2 MG/ML / phenyltoloxamine 2 MG/ML Oral Suspension","SCD"
"2670","Codeine","755839","Codeine 2 MG/ML / Phenylephrine 0.4 MG/ML / Pseudoephedrine 6 MG/ML Oral Solution","SCD"
"2670","Codeine","309431","Codeine 2 MG/ML / Menthol 0.2 MG/ML / Pheniramine 2.5 MG/ML / Phenylephrine 1 MG/ML Oral Solution","SCD"
"2670","Codeine","596818","Codeine 2 MG/ML / Guaifenesin 40 MG/ML / Phenylpropanolamine 2.5 MG/ML Oral Suspension","SCD"
"2670","Codeine","485056","Codeine 2 MG/ML / Guaifenesin 4 MG/ML / Phenylpropanolamine 2.5 MG/ML Oral Suspension","SCD"
"2670","Codeine","315048","Codeine 2 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine 1 MG/ML Oral Solution","SCD"
"2670","Codeine","309421","Codeine 2 MG/ML / Guaifenesin 20 MG/ML / Pheniramine 1.5 MG/ML Oral Solution","SCD"
"2670","Codeine","725831","Codeine 2 MG/ML / guaiacolsulfonate 16 MG/ML Oral Solution","SCD"
"2670","Codeine","755838","Codeine 2 MG/ML / Ephedrine 1.25 MG/ML / Guaifenesin 20 MG/ML Oral Solution","SCD"
"2670","Codeine","410933","Codeine 188 MG / phenyltoloxamine 28 MG Oral Capsule","SCD"
"2670","Codeine","248551","Codeine 150 MG Extended Release Oral Tablet","SCD"
"2670","Codeine","996249","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Nucodine Expectorant]","SBD"
"2670","Codeine","755837","Codeine 13.2 MG/ML / phenyltoloxamine 1.98 MG/ML Oral Solution","SCD"
"2670","Codeine","996247","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Nucochem]","SBD"
"2670","Codeine","410214","Codeine 100 MG Oral Capsule","SCD"
"2670","Codeine","248550","Codeine 100 MG Extended Release Oral Tablet","SCD"
"2670","Codeine","245395","Codeine 10 MG/ML Oral Solution","SCD"
"2670","Codeine","410216","Codeine 10 MG Oral Capsule","SCD"
"2670","Codeine","996198","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [KG-Fed Expectorant]","SBD"
"2670","Codeine","1547607","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Lortuss EX]","SBD"
"2670","Codeine","996211","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Medent C]","SBD"
"2670","Codeine","996216","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Mytussin DAC]","SBD"
"2670","Codeine","996239","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Novadyne Expectorant]","SBD"
"2670","Codeine","996243","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Novagest]","SBD"
"2670","Codeine","996744","Codeine Phosphate 1.5 MG/ML / Diphenhydramine Hydrochloride 2 MG/ML / Phenylephrine Hydrochloride 1.5 MG/ML Oral Solution","SCD"
"2670","Codeine","309451","Codeine 15 MG / Papaverine 15 MG Oral Capsule","SCD"
"2670","Codeine","1113417","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution","SCD"
"2670","Codeine","995440","Codeine Phosphate 1.26 MG/ML / Guaifenesin 20 MG/ML Oral Solution [M-Clear WC]","SBD"
"2670","Codeine","997008","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML Oral Solution","SCD"
"2670","Codeine","1113440","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Ryna C]","SBD"
"2670","Codeine","1113437","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Phenylhistine DH]","SBD"
"2670","Codeine","1113431","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Phenhist DH]","SBD"
"2670","Codeine","1113442","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Novahistine DH]","SBD"
"2670","Codeine","1113429","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Novadyne DH]","SBD"
"2670","Codeine","1113427","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Dihistine DH]","SBD"
"2670","Codeine","1113425","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Decohistine DH]","SBD"
"2670","Codeine","1113419","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Co-Histine DH]","SBD"
"2670","Codeine","997548","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML Oral Solution [TL-Hist CM]","SBD"
"2670","Codeine","1113421","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Codahistine DH]","SBD"
"2670","Codeine","2056893","Chlorpheniramine Maleate 0.8 MG/ML / Codeine Phosphate 2 MG/ML / Phenylephrine Hydrochloride 2 MG/ML Oral Solution","SCD"
"2670","Codeine","1042693","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Phenylephrine Hydrochloride 1 MG/ML Oral Solution","SCD"
"2670","Codeine","995132","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1.8 MG/ML Oral Solution [Z Tuss AC]","SBD"
"2670","Codeine","995128","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1.8 MG/ML Oral Solution","SCD"
"2670","Codeine","1114002","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1.6 MG/ML Oral Solution [Codar AR]","SBD"
"2670","Codeine","1113998","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1.6 MG/ML Oral Solution","SCD"
"2670","Codeine","1114003","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1.6 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution","SCD"
"2670","Codeine","1099631","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1.5 MG/ML / Phenylephrine Hydrochloride 1 MG/ML Oral Solution [Endal Cough]","SBD"
"2670","Codeine","1099627","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1.5 MG/ML / Phenylephrine Hydrochloride 1 MG/ML Oral Solution","SCD"
"2670","Codeine","995125","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1 MG/ML Oral Suspension [Zodryl AC]","SBD"
"2670","Codeine","995123","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1 MG/ML Oral Suspension","SCD"
"2670","Codeine","995122","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 1 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Suspension [Zodryl DAC]","SBD"
"2670","Codeine","1113423","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution [Codehist DH]","SBD"
"2670","Codeine","755834","Codeine 1.5 MG/ML / Pseudoephedrine 4 MG/ML Oral Solution","SCD"
"2670","Codeine","996746","Codeine Phosphate 1.5 MG/ML / Diphenhydramine Hydrochloride 2 MG/ML / Phenylephrine Hydrochloride 1.5 MG/ML Oral Solution [Endal CD]","SBD"
"2670","Codeine","997156","Codeine Phosphate 1.5 MG/ML / Diphenhydramine Hydrochloride 2.5 MG/ML / Phenylephrine Hydrochloride 1.5 MG/ML Oral Solution","SCD"
"2670","Codeine","998183","Codeine Phosphate 1.5 MG/ML / Diphenhydramine Hydrochloride 2.5 MG/ML / Phenylephrine Hydrochloride 1.5 MG/ML Oral Solution [Airacof]","SBD"
"2670","Codeine","998185","Codeine Phosphate 1.5 MG/ML / Diphenhydramine Hydrochloride 2.5 MG/ML / Phenylephrine Hydrochloride 1.5 MG/ML Oral Solution [Endal CD]","SBD"
"2670","Codeine","995441","Codeine Phosphate 1.5 MG/ML / Guaifenesin 45 MG/ML Oral Solution","SCD"
"2670","Codeine","995443","Codeine Phosphate 1.5 MG/ML / Guaifenesin 45 MG/ML Oral Solution [Mar-cof CG]","SBD"
"2670","Codeine","1114110","Codeine Phosphate 1.6 MG/ML / Guaifenesin 40 MG/ML / Pseudoephedrine Hydrochloride 6 MG/ML Oral Solution","SCD"
"2670","Codeine","428208","Codeine 10 MG / Ethylmorphine 10 MG Oral Tablet","SCD"
"2670","Codeine","425252","Codeine 1.92 MG/ML / Pseudoephedrine 6 MG/ML Oral Solution","SCD"
"2670","Codeine","421816","Codeine 1.89 MG/ML / phenyltoloxamine 0.667 MG/ML Oral Suspension","SCD"
"2670","Codeine","1250974","Chlorpheniramine Maleate 0.4 MG/ML / Codeine Phosphate 2 MG/ML Oral Solution [Notuss AC]","SBD"
"2670","Codeine","422569","Codeine 1.5 MG/ML Oral Suspension","SCD"
"2670","Codeine","421803","Codeine 2 MG/ML Oral Suspension","SCD"
"2670","Codeine","755832","Codeine 1.49 MG/ML / Pseudoephedrine 6 MG/ML Oral Solution","SCD"
"2670","Codeine","421994","Codeine 1.17 MG/ML Oral Solution","SCD"
"2670","Codeine","422629","Codeine 1 MG/ML Oral Suspension","SCD"
"2670","Codeine","248830","Codeine 1 MG/ML / Guaifenesin 6 MG/ML Oral Solution","SCD"
"2670","Codeine","755829","Codeine 1 MG/ML / Erysimum preparation 3 MG/ML Oral Solution","SCD"
"2670","Codeine","755828","Codeine 0.5 MG/ML / Ephedrine 1.13 MG/ML / Pyrilamine 1.4 MG/ML Oral Solution","SCD"
"2670","Codeine","1652095","CHLORPHENIRAMINE POLISTIREX 0.8 MG/ML / CODEINE POLISTIREX 4 MG/ML Extended Release Suspension [Tuzistra]","SBD"
